"length","weight","length2","length3"
94,130,8836,830584
74,51,5476,405224
147,640,21609,3176523
58,28,3364,195112
86,80,7396,636056
94,110,8836,830584
63,33,3969,250047
86,90,7396,636056
69,36,4761,328509
72,38,5184,373248
128,366,16384,2097152
85,84,7225,614125
82,80,6724,551368
86,83,7396,636056
88,70,7744,681472
72,61,5184,373248
74,54,5476,405224
61,44,3721,226981
90,106,8100,729000
89,84,7921,704969
68,39,4624,314432
76,42,5776,438976
114,197,12996,1481544
90,102,8100,729000
78,57,6084,474552
